cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85,elem_86,elem_87,elem_88,elem_89,elem_90,elem_91,elem_92,elem_93,elem_94,elem_95,elem_96
-1,Asie,Où,Risque-Tout,fier,Camarades,wampums,Ferney,Peuh,Guyenne,Chichimèques,Luy,Castille,haussa,Téocalis,Léona,Singuliers,Lovelace,la feuillée,Vienne,Jérusalem,taillis,Washington,Karnac celtique,Emparez,d'Espagne,croyez-le bien,Louisiane,hâtez,Maintenant,toldos,Royal-Marine,Essayez,Précédez,île Anticosti,Votre,Ponce-Pilate,Sans-Piste,Particularité,merisier,Le Peau,hein,mawkawis,Armand,Niagara,Hermine,atepelt,pyramides de Cholula,Doué,Venise,N',bivouaquerai,Bravo,cap des Monts-Pelés,ligne de Tisona,J',remettez-le-moi,Pélage,au Havre,Palamède,I,brelandier,cap du Chat,Dominé,Faut,Ami,Bonsoir,États-Unis,Tels,Relevez,Albion,cap Rosier,égorgille,Accordez,méritez,Pilma,blottis,Créateur,Jean-Pol,Soudain,faix,Grognon,Çà,English,II,Riche,Eh,Maigre,Sicile,Holà,Plutôt,Chérie,whiskey,Bordeaux,Anjou,Vraiment,alluma,Créole
0,seuil de la maisonnette,Pardonnez,Sonne,Abandonnez,Pardon,Pardonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ward,Gueusard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Maleval,châtelaine de Maleval,parc de la comtesse,comtesse de Maleval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Nécessité,fort Nécessité,fort de la Nécessité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Petit-Fort,fort Rupert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,fort Duquesne,Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Carignan,nuancés de gris,baron de Grigny,Grigny,M. de Grigny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,anse des Marigots,Marigots,Anse-aux-Marigots,baie d'Hudson,baie des Marmousets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,vallée de l',chaumière de l'Ohio,vallée de l'Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
