cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75,elem_76,elem_77,elem_78,elem_79,elem_80,elem_81,elem_82,elem_83,elem_84,elem_85
-1,salie!.,Saint-Théophile,m'’effraya,Lo,Bandit,Désir-de-plaire,rue Lanterne,Courage,TS,sabré,guide-ballon n’,Ê,Rime,"fe me cn -

 

 

X
IRMA",Tiens,j’,Foin,mitra,Providence,Consterna-,titis de l’,Rogé,"PAPILLON

Je crois bien!",Micou,"PAPILLON

C’",Éliacin,Raspail,Ser-,Roberte,Parthénon,lit n’,kss!.,"BABAROTTES 17

LS",Mathurine,Sèvres,mastoïdes,Evêché,miséra-a-ble!,Grillon,Champenoise,recopiât,Religion,Lamartine d’Elvire,Palerme,ronfla,Blanc,Annou,Hospitalier,uma,Maintenant,Cap,A TRUE,Moustier,cimetière des Papillons,rue de Lille,C’,Coquine,Chauve-Souris,Saint-Pétesbourg,Lyon,Robinson,lui!.,EE,rs,Rana-Valo,Luxembourg,Vieux-Collège,Mlle,bésigue,Allez,Prés-Saint-Gervais,Bonsoir,Récollets,Fe,SRE,Confusément,Boucoyran,Jardin des Plantes,Saint-Emilion,Latin,PA fesse RD,songeuse,soleil,Observatoire,Holà,Sar-
0,D,"Ù
Ê",t’,F,Ë,m’,Æ,Lx,Rà,S,I,P,A,È,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À,Î,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Odéon,wagon,d’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"RÊVE 229

D",RÊVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Toloco-
totignan",Tolocototignan,tolocototignan,Toloco-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Dsnemeete- Di,trompe-la-mort,Fanfan-la-Tulipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Neuf-des-Papes,Château-,"Château-
Neuf-des-Papes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Daniel,Danielo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Bhagiratha,J',Daçaratha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
